Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
146,00:00:04.833,3.0446141975308643,8.649537037037037,5.900462962962963,0.5487654320987654,2.6846141975308644
147,00:00:04.867,1.7635956790123457,5.593865740740741,3.0634336419753088,0.5658101851851852,1.6615432098765432
148,00:00:04.900,1.5169598765432097,6.089699074074074,2.5318672839506173,0.7095061728395061,1.309506172839506
149,00:00:04.933,0.48025462962962956,3.738425925925926,0.633641975308642,0.3024922839506173,0.5046296296296297
150,00:00:04.967,0.353832304526749,3.372453703703704,0.4054861111111111,0.2594212962962963,0.3965895061728395
151,00:00:05.000,5.54406121399177,10.227546296296296,10.728256172839506,1.071550925925926,4.832376543209876
152,00:00:05.033,2.005486111111111,6.786226851851852,3.1603549382716047,0.8063811728395062,2.049722222222222
153,00:00:05.067,0.7661728395061728,5.416782407407408,0.803395061728395,0.4736651234567901,1.0214583333333334
154,00:00:05.100,0.4383230452674897,2.8608796296296295,0.37287808641975306,0.34910493827160494,0.5929861111111111
155,00:00:05.133,0.43296553497942386,2.849074074074074,0.6492052469135803,0.2216898148148148,0.42800154320987654
156,00:00:05.167,1.254812242798354,6.4497685185185185,2.0089043209876545,0.49214506172839506,1.2633873456790123
157,00:00:05.200,3.421435185185185,7.974652777777778,5.343865740740741,0.8179861111111111,4.102453703703704
158,00:00:05.233,3.1074485596707824,7.7168981481481485,5.210871913580247,0.5637654320987654,3.5477083333333335
159,00:00:05.267,0.8122067901234568,6.247106481481482,0.9440972222222223,0.41508487654320986,1.0774382716049382
160,00:00:05.300,0.5090534979423869,4.907175925925926,0.7210108024691358,0.26396604938271606,0.5421836419753087
161,00:00:05.333,1.0201157407407409,4.9445601851851855,1.6750231481481481,0.46660493827160493,0.9187191358024691
162,00:00:05.367,0.6635931069958848,4.259837962962963,0.6901851851851852,0.4507716049382716,0.8498225308641976
163,00:00:05.400,0.3305324074074074,3.781712962962963,0.3553780864197531,0.24893518518518518,0.38728395061728393
164,00:00:05.433,0.8426748971193416,5.190509259259259,1.0565432098765433,0.42266975308641974,1.0488117283950618
165,00:00:05.467,0.6602391975308642,4.793055555555555,1.104591049382716,0.22604166666666667,0.6500848765432099
166,00:00:05.500,0.7866280864197531,5.997222222222222,0.9987345679012346,0.4629938271604938,0.8981558641975309
167,00:00:05.533,1.0544701646090535,7.602777777777778,1.1891126543209876,0.5573302469135802,1.4169675925925926
168,00:00:05.567,2.338719135802469,8.954513888888888,3.649513888888889,0.732199074074074,2.6344444444444446
169,00:00:05.600,1.9796707818930042,7.183680555555555,3.22787037037037,0.582554012345679,2.128587962962963
170,00:00:05.633,0.2446244855967078,4.002083333333333,0.2412577160493827,0.18551697530864197,0.30709876543209874
171,00:00:05.667,0.8600488683127572,4.240162037037037,1.1825,0.39024691358024693,1.0073996913580248
172,00:00:05.700,0.7082896090534979,4.653356481481482,1.0244675925925926,0.2880787037037037,0.8123225308641975
173,00:00:05.733,0.9873533950617284,4.515625,1.2289429012345678,0.5828858024691358,1.1502314814814816
174,00:00:05.767,0.6654269547325103,4.946527777777778,0.9473456790123457,0.34216820987654323,0.706766975308642
175,00:00:05.800,0.5958076131687243,3.055671296296296,1.148996913580247,0.22500771604938272,0.4134182098765432
176,00:00:05.833,0.5384439300411522,2.4988425925925926,0.672283950617284,0.3228240740740741,0.6202237654320988
177,00:00:05.867,0.633942901234568,3.5751157407407406,0.8247067901234568,0.39676697530864197,0.680354938271605
